fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards,
864119,2022-07-18 00:00:00+00:00,Victor Cáceres,Tigres UANL,Club Tijuana,1,0,4,5,9,2,2,4,
864120,2022-07-19 00:00:00+00:00,Jorge Camacho,CF Pachuca,Mazatlán,1,1,9,2,11,2,3,5,
864121,2022-07-21 02:05:00+00:00,Jorge Pérez,Guadalajara Chivas,León,0,0,5,3,8,5,3,8,
864122,2022-07-22 02:00:00+00:00,Luis Santander,Club Queretaro,Monterrey,0,3,3,3,6,1,1,2,
864123,2022-07-23 00:00:00+00:00,Ismael López,Mazatlán,Atletico San Luis,1,1,8,12,20,2,5,7,
864124,2022-07-23 02:05:00+00:00,César Ramos,Necaxa,FC Juarez,1,0,2,8,10,8,5,13,
864125,2022-07-23 22:00:00+00:00,Diego Montaño,Toluca,Santos Laguna,2,1,9,2,11,2,3,5,
864126,2022-07-24 00:05:00+00:00,Fernando Guerrero,Cruz Azul,Puebla,2,2,7,3,10,2,2,4,
864127,2022-07-24 02:05:00+00:00,Marco Ortíz,Tigres UANL,Atlas,2,0,8,1,9,4,4,8,
864128,2022-07-24 01:00:00+00:00,Fernando Hernández,Club Tijuana,Club America,2,0,7,2,9,3,3,6,
864129,2022-07-25 00:00:00+00:00,Brian González,CF Pachuca,U.N.A.M. - Pumas,0,0,13,4,17,4,5,9,
864130,2022-07-27 00:00:00+00:00,Diego Montaño,Atlas,Club Tijuana,1,2,10,1,11,3,7,10,
864131,2022-07-27 00:00:00+00:00,Oscar Macías,Monterrey,Puebla,1,0,4,6,10,2,4,6,
864132,2022-07-27 00:00:00+00:00,Fernando Hernández,FC Juarez,Tigres UANL,0,1,4,3,7,4,8,12,
864133,2022-07-27 02:05:00+00:00,Adonai Escobedo,Atletico San Luis,Cruz Azul,0,0,8,5,13,3,5,8,
864134,2022-07-27 02:05:00+00:00,Guillermo Pacheco,León,Toluca,0,1,4,5,9,8,2,10,
864135,2022-07-28 00:00:00+00:00,César Ramos,Club Queretaro,Guadalajara Chivas,2,2,9,4,13,2,2,4,
864136,2022-07-28 00:00:00+00:00,Jorge Pérez,Necaxa,CF Pachuca,2,0,3,9,12,5,3,8,
864137,2022-07-28 02:05:00+00:00,Luis Santander,U.N.A.M. - Pumas,Mazatlán,1,1,7,3,10,2,1,3,
864139,2022-07-30 02:05:00+00:00,Fernando Guerrero,FC Juarez,Toluca,1,1,7,1,8,3,6,9,
864140,2022-07-30 22:00:00+00:00,Erick Miranda,Cruz Azul,Necaxa,1,0,3,4,7,3,4,7,
864141,2022-07-31 00:05:00+00:00,Ismael López,Tigres UANL,Club Queretaro,2,1,4,3,7,7,5,12,
864142,2022-07-31 02:05:00+00:00,Adonai Escobedo,Guadalajara Chivas,CF Pachuca,0,0,7,4,11,5,7,12,
864143,2022-07-31 02:05:00+00:00,Marco Ortíz,Puebla,Atletico San Luis,0,0,7,1,8,1,3,4,
864144,2022-07-31 02:05:00+00:00,Daniel Quintero,Club Tijuana,Mazatlán,2,0,7,2,9,3,3,6,
864145,2022-07-31 17:00:00+00:00,Diego Montaño,U.N.A.M. - Pumas,Monterrey,1,1,6,1,7,1,6,7,
864146,2022-08-01 00:05:00+00:00,César Ramos,Santos Laguna,Atlas,1,0,3,4,7,2,2,4,
864147,2022-08-01 02:05:00+00:00,Oscar Macías,León,Club America,3,2,5,4,9,4,3,7,
864229,2022-08-03 01:00:00+00:00,Victor Cáceres,Toluca,Puebla,1,1,8,6,14,4,5,9,
864230,2022-08-04 00:00:00+00:00,Oscar Macías,FC Juarez,Atletico San Luis,1,1,8,2,10,3,1,4,
864148,2022-08-05 02:00:00+00:00,Fernando Guerrero,Atlas,Club Queretaro,3,1,5,5,10,3,6,9,
864150,2022-08-06 02:05:00+00:00,Jorge Camacho,Mazatlán,Guadalajara Chivas,2,1,4,4,8,6,6,12,
864151,2022-08-07 00:05:00+00:00,Marco Ortíz,Monterrey,León,5,1,0,0,0,0,0,0,
864153,2022-08-07 02:05:00+00:00,Oscar Macías,Santos Laguna,Cruz Azul,4,0,6,6,12,0,0,0,
864154,2022-08-07 17:00:00+00:00,César Ramos,Toluca,Club Tijuana,3,1,12,4,16,1,6,7,
864155,2022-08-07 21:00:00+00:00,Eduardo Galván,Atletico San Luis,Necaxa,1,2,5,3,8,1,2,3,
864156,2022-08-07 23:05:00+00:00,Daniel Quintero,CF Pachuca,Tigres UANL,2,0,5,4,9,3,4,7,
864152,2022-08-08 01:05:00+00:00,Luis Santander,Club America,FC Juarez,2,1,3,2,5,2,1,3,
864157,2022-08-12 02:00:00+00:00,Erick Miranda,Club Queretaro,Atletico San Luis,1,1,7,4,11,3,0,3,
864158,2022-08-13 02:00:00+00:00,Guillermo Pacheco,Necaxa,Monterrey,1,2,2,6,8,2,2,4,
864159,2022-08-13 02:05:00+00:00,Luis Santander,Club Tijuana,Puebla,3,3,6,4,10,1,0,1,
864161,2022-08-13 22:00:00+00:00,Eduardo Galván,León,Mazatlán,0,3,9,1,10,1,4,5,
864162,2022-08-14 00:05:00+00:00,Adonai Escobedo,U.N.A.M. - Pumas,Club America,0,3,4,5,9,2,0,2,
864163,2022-08-14 02:05:00+00:00,Marco Ortíz,Guadalajara Chivas,Atlas,1,1,5,3,8,3,6,9,
864164,2022-08-14 22:00:00+00:00,Fernando Hernández,Cruz Azul,Toluca,2,3,7,4,11,6,2,8,
864165,2022-08-15 00:05:00+00:00,Diego Montaño,Tigres UANL,Santos Laguna,2,0,5,3,8,5,6,11,
864166,2022-08-17 00:00:00+00:00,Adonai Escobedo,Atlas,FC Juarez,0,1,8,4,12,1,6,7,
864167,2022-08-17 01:00:00+00:00,Luis Santander,Mazatlán,Club Queretaro,1,1,3,6,9,1,2,3,
864168,2022-08-17 02:05:00+00:00,Fernando Guerrero,Puebla,Necaxa,2,2,6,5,11,1,1,2,
864169,2022-08-18 00:00:00+00:00,Daniel Quintero,Toluca,Monterrey,1,1,10,2,12,2,3,5,
864170,2022-08-18 02:05:00+00:00,Diego Montaño,Cruz Azul,Club Tijuana,1,2,8,3,11,0,2,2,
864171,2022-08-18 02:05:00+00:00,César Ramos,CF Pachuca,Club America,0,3,5,5,10,5,2,7,
864172,2022-08-19 00:05:00+00:00,Victor Cáceres,Santos Laguna,León,2,1,6,3,9,1,4,5,
864173,2022-08-19 02:05:00+00:00,Oscar Macías,Atletico San Luis,U.N.A.M. - Pumas,3,2,3,9,12,3,3,6,
864175,2022-08-20 00:00:00+00:00,Oscar Mejía,Necaxa,Guadalajara Chivas,0,4,4,4,8,2,0,2,
864177,2022-08-20 22:00:00+00:00,Guillermo Pacheco,Club Queretaro,Club Tijuana,2,0,6,5,11,4,3,7,
864176,2022-08-21 02:05:00+00:00,Daniel Quintero,FC Juarez,Mazatlán,1,1,7,7,14,5,3,8,
864178,2022-08-21 00:05:00+00:00,César Ramos,Atlas,Puebla,1,1,6,2,8,3,4,7,
864179,2022-08-21 00:05:00+00:00,Fernando Guerrero,Monterrey,Tigres UANL,0,0,7,4,11,3,2,5,
864180,2022-08-21 02:05:00+00:00,Luis Santander,Club America,Cruz Azul,7,0,2,2,4,1,3,4,
864181,2022-08-21 17:00:00+00:00,Marco Ortíz,U.N.A.M. - Pumas,Santos Laguna,1,5,8,4,12,0,0,0,
864182,2022-08-21 22:00:00+00:00,Diego Montaño,Atletico San Luis,Toluca,1,0,8,5,13,3,1,4,
864183,2022-08-22 00:05:00+00:00,Ismael López,CF Pachuca,León,1,0,8,4,12,3,8,11,
864231,2022-08-24 00:05:00+00:00,Luis Santander,Guadalajara Chivas,Monterrey,1,0,5,9,14,1,2,3,
864232,2022-08-24 02:05:00+00:00,Victor Cáceres,Club Queretaro,Club America,0,1,4,9,13,0,2,2,
864234,2022-08-25 02:05:00+00:00,Oscar Mejía,U.N.A.M. - Pumas,Tigres UANL,1,1,0,10,10,4,1,5,
864235,2022-08-26 00:05:00+00:00,Fernando Guerrero,CF Pachuca,Atlas,3,1,3,3,6,0,2,2,
864236,2022-08-26 02:05:00+00:00,Adonai Escobedo,Club Tijuana,Santos Laguna,0,2,7,2,9,4,3,7,
864184,2022-08-27 00:00:00+00:00,Marco Ortíz,Puebla,FC Juarez,2,2,5,4,9,3,2,5,
864185,2022-08-27 02:05:00+00:00,Erick Miranda,Mazatlán,Club America,1,3,3,5,8,6,2,8,
864186,2022-08-27 22:00:00+00:00,Daniel Quintero,Cruz Azul,Club Queretaro,2,1,4,5,9,7,2,9,
864187,2022-08-28 00:05:00+00:00,Fernando Hernández,Tigres UANL,Necaxa,0,0,7,2,9,1,3,4,
864188,2022-08-28 02:05:00+00:00,Diego Montaño,Guadalajara Chivas,U.N.A.M. - Pumas,3,1,5,0,5,2,2,4,
864189,2022-08-28 17:00:00+00:00,Guillermo Pacheco,Toluca,CF Pachuca,1,4,3,5,8,8,4,12,
864190,2022-08-29 00:05:00+00:00,Fernando Guerrero,Santos Laguna,Atletico San Luis,4,1,5,5,10,1,2,3,
864191,2022-08-29 00:00:00+00:00,Oscar Macías,León,Atlas,4,2,5,5,10,1,1,2,
864192,2022-08-29 02:05:00+00:00,Brian González,Club Tijuana,Monterrey,0,3,7,15,22,3,1,4,
864193,2022-09-02 00:00:00+00:00,Daniel Quintero,Atletico San Luis,Club Tijuana,0,0,1,8,9,5,2,7,
864194,2022-09-02 02:05:00+00:00,Ismael López,Club Queretaro,Puebla,1,1,2,3,5,4,2,6,
864195,2022-09-03 00:00:00+00:00,Marco Ortíz,Necaxa,León,3,2,1,10,11,1,1,2,
864196,2022-09-03 02:05:00+00:00,Brian González,FC Juarez,Cruz Azul,2,2,4,2,6,4,7,11,
864197,2022-09-03 22:05:00+00:00,Fernando Hernández,CF Pachuca,Santos Laguna,2,0,9,7,16,4,5,9,
864198,2022-09-04 00:05:00+00:00,Victor Cáceres,Monterrey,Mazatlán,0,0,6,4,10,1,3,4,
864199,2022-09-04 00:05:00+00:00,Luis Santander,Atlas,U.N.A.M. - Pumas,0,0,2,6,8,1,2,3,
864200,2022-09-04 02:05:00+00:00,Diego Montaño,Club America,Tigres UANL,2,1,4,9,13,5,4,9,
864201,2022-09-04 22:00:00+00:00,César Ramos,Toluca,Guadalajara Chivas,0,0,7,5,12,2,5,7,
864202,2022-09-07 00:00:00+00:00,Jorge Camacho,León,FC Juarez,1,0,3,0,3,5,8,13,
864203,2022-09-07 00:05:00+00:00,Daniel Quintero,Santos Laguna,Necaxa,3,1,1,2,3,1,2,3,
864204,2022-09-07 02:05:00+00:00,Oscar Mejía,Monterrey,Cruz Azul,3,2,3,0,3,5,1,6,
864205,2022-09-07 02:05:00+00:00,Victor Cáceres,Club America,Atletico San Luis,3,0,8,3,11,2,4,6,
864206,2022-09-08 00:00:00+00:00,Adonai Escobedo,Puebla,CF Pachuca,2,2,3,4,7,5,4,9,
864207,2022-09-08 00:00:00+00:00,Marco Ortíz,Tigres UANL,Toluca,3,1,6,3,9,2,3,5,
864208,2022-09-08 02:05:00+00:00,César Ramos,U.N.A.M. - Pumas,Club Queretaro,4,1,4,4,8,1,1,2,
864209,2022-09-08 02:05:00+00:00,Guillermo Pacheco,Club Tijuana,Guadalajara Chivas,1,2,6,3,9,3,4,7,
864210,2022-09-08 02:00:00+00:00,Fernando Hernández,Mazatlán,Atlas,1,0,3,8,11,1,2,3,
864212,2022-09-10 02:05:00+00:00,Diego Montaño,FC Juarez,Monterrey,0,1,6,8,14,0,3,3,
864213,2022-09-10 22:00:00+00:00,Luis Santander,Club Queretaro,Santos Laguna,3,3,7,4,11,2,2,4,
864211,2022-09-11 00:00:00+00:00,Fernando Guerrero,Necaxa,Club America,1,2,3,9,12,2,0,2,
864214,2022-09-11 00:05:00+00:00,Adonai Escobedo,Tigres UANL,León,0,1,9,5,14,0,6,6,
864215,2022-09-11 02:05:00+00:00,Fernando Hernández,Toluca,U.N.A.M. - Pumas,2,2,3,7,10,3,4,7,
864216,2022-09-11 02:05:00+00:00,Daniel Quintero,Guadalajara Chivas,Puebla,1,0,2,6,8,0,4,4,
864217,2022-09-11 21:00:00+00:00,César Ramos,Cruz Azul,Mazatlán,2,0,7,1,8,0,3,3,
864218,2022-09-11 23:05:00+00:00,Oscar Mejía,Atlas,Atletico San Luis,1,3,4,4,8,2,1,3,
864219,2022-09-12 01:05:00+00:00,Oscar Macías,CF Pachuca,Club Tijuana,6,1,6,7,13,1,1,2,
864174,2022-09-14 02:05:00+00:00,Fernando Guerrero,Guadalajara Chivas,Tigres UANL,1,4,10,8,18,0,3,3,
864138,2022-09-15 02:05:00+00:00,Fernando Hernández,Club America,Santos Laguna,3,3,11,2,13,0,6,6,
864160,2022-09-15 02:05:00+00:00,Victor Cáceres,FC Juarez,CF Pachuca,2,1,4,4,8,3,2,5,
864233,2022-09-16 00:00:00+00:00,Marco Ortíz,Cruz Azul,León,2,1,18,2,20,2,2,4,
864220,2022-09-17 00:00:00+00:00,César Ramos,Puebla,Tigres UANL,2,1,5,6,11,4,9,13,
864221,2022-09-17 02:00:00+00:00,Daniel Quintero,Mazatlán,Toluca,1,1,4,4,8,3,3,6,
864223,2022-09-18 00:05:00+00:00,Marco Ortíz,Monterrey,Atlas,2,0,6,1,7,2,2,4,
864224,2022-09-18 01:00:00+00:00,Adonai Escobedo,Club America,Guadalajara Chivas,2,1,3,6,9,1,4,5,
864225,2022-09-18 22:00:00+00:00,Fernando Guerrero,U.N.A.M. - Pumas,Cruz Azul,1,2,7,5,12,1,2,3,
864222,2022-09-19 02:00:00+00:00,Luis Santander,Atletico San Luis,CF Pachuca,1,2,2,5,7,1,3,4,
864226,2022-09-19 00:05:00+00:00,Oscar Macías,Santos Laguna,FC Juarez,2,0,7,7,14,1,3,4,
864227,2022-09-19 00:05:00+00:00,Oscar Mejía,León,Club Queretaro,3,1,4,4,8,0,5,5,
864228,2022-09-19 02:05:00+00:00,Diego Montaño,Club Tijuana,Necaxa,1,1,3,5,8,2,3,5,
864149,2022-09-24 02:05:00+00:00,Adonai Escobedo,Puebla,U.N.A.M. - Pumas,2,1,4,4,8,3,3,6,
864237,2022-09-24 00:00:00+00:00,Fernando Hernández,Necaxa,Mazatlán,2,2,5,4,9,3,3,6,
864238,2022-10-01 00:00:00+00:00,Marco Ortíz,Puebla,Club America,1,2,3,4,7,1,1,2,
864239,2022-10-01 02:00:00+00:00,Daniel Quintero,FC Juarez,U.N.A.M. - Pumas,3,1,1,6,7,3,9,12,
864240,2022-10-01 22:00:00+00:00,Oscar Mejía,Atletico San Luis,Tigres UANL,0,3,1,5,6,3,5,8,
864241,2022-10-01 22:05:00+00:00,Fernando Hernández,Monterrey,CF Pachuca,0,0,3,1,4,2,3,5,
864242,2022-10-02 00:05:00+00:00,Victor Cáceres,Atlas,Necaxa,1,0,1,4,5,0,2,2,
864243,2022-10-02 02:05:00+00:00,César Ramos,Cruz Azul,Guadalajara Chivas,2,1,2,5,7,2,1,3,
864244,2022-10-02 17:00:00+00:00,Edgar Morales,Toluca,Club Queretaro,4,1,7,5,12,4,3,7,
864245,2022-10-02 23:05:00+00:00,Adonai Escobedo,Santos Laguna,Mazatlán,3,0,5,2,7,2,3,5,
864246,2022-10-03 01:00:00+00:00,Luis Santander,León,Club Tijuana,2,2,6,1,7,1,3,4,
963835,2022-10-09 00:00:00+00:00,César Ramos,Tigres UANL,Necaxa,2,0,6,3,9,4,7,11,
963836,2022-10-09 17:00:00+00:00,Marco Ortíz,Toluca,FC Juarez,3,0,1,5,6,4,3,7,
963837,2022-10-09 02:15:00+00:00,Fernando Guerrero,Cruz Azul,León,1,0,4,7,11,3,1,4,
965503,2022-10-13 02:06:00+00:00,Victor Cáceres,Cruz Azul,Monterrey,0,0,8,2,10,0,1,1,
965507,2022-10-13 00:06:00+00:00,Marco Ortíz,Puebla,Club America,1,6,1,2,3,1,2,3,
965505,2022-10-14 00:06:00+00:00,Diego Montaño,Toluca,Santos Laguna,4,3,3,4,7,5,6,11,
965509,2022-10-14 02:06:00+00:00,Fernando Hernández,Tigres UANL,CF Pachuca,1,0,6,5,11,3,3,6,
965504,2022-10-16 23:06:00+00:00,Adonai Escobedo,Monterrey,Cruz Azul,3,0,7,8,15,5,1,6,
965508,2022-10-16 01:06:00+00:00,Daniel Quintero,Club America,Puebla,5,1,3,2,5,2,1,3,
965506,2022-10-17 00:06:00+00:00,Luis Santander,Santos Laguna,Toluca,1,2,11,3,14,3,1,4,
965510,2022-10-17 02:06:00+00:00,Fernando Guerrero,CF Pachuca,Tigres UANL,2,1,2,3,5,5,6,11,
967071,2022-10-20 02:06:00+00:00,Marco Ortíz,Toluca,Club America,2,1,1,4,5,2,2,4,
967073,2022-10-21 02:06:00+00:00,César Ramos,CF Pachuca,Monterrey,5,2,6,1,7,1,5,6,
967072,2022-10-23 01:06:00+00:00,Adonai Escobedo,Club America,Toluca,1,1,7,2,9,3,5,8,
967074,2022-10-24 01:06:00+00:00,Luis Santander,Monterrey,CF Pachuca,0,1,8,2,10,2,2,4,
968247,2022-10-28 01:06:00+00:00,Marco Ortíz,Toluca,CF Pachuca,1,5,10,4,14,3,1,4,
968248,2022-10-31 01:36:00+00:00,Adonai Escobedo,CF Pachuca,Toluca,3,1,7,3,10,3,4,7,
973610,2023-01-07 01:00:00+00:00,Fernando Hernández,Necaxa,Atletico San Luis,2,3,6,7,13,2,1,3,
973612,2023-01-07 23:00:00+00:00,Victor Cáceres,Club America,Club Queretaro,0,0,15,3,18,0,3,3,
973614,2023-01-08 03:10:00+00:00,Adonai Escobedo,Monterrey,Guadalajara Chivas,0,1,9,1,10,2,5,7,
973615,2023-01-08 18:00:00+00:00,Oscar Macías,U.N.A.M. - Pumas,FC Juarez,2,1,5,2,7,0,5,5,
973616,2023-01-09 01:00:00+00:00,Oscar Mejía,Santos Laguna,Tigres UANL,0,3,10,6,16,3,2,5,
973618,2023-01-09 03:10:00+00:00,Daniel Quintero,Club Tijuana,Cruz Azul,1,1,6,6,12,3,3,6,
973617,2023-01-10 03:10:00+00:00,Diego Montaño,CF Pachuca,Puebla,5,1,12,0,12,0,1,1,
973619,2023-01-13 03:00:00+00:00,Ismael López,Atlas,Mazatlán,2,1,8,0,8,3,2,5,
973620,2023-01-14 01:05:00+00:00,Daniel Quintero,Atletico San Luis,Guadalajara Chivas,0,0,2,9,11,5,1,6,
973621,2023-01-14 03:05:00+00:00,Jorge Camacho,Puebla,Club Queretaro,2,0,4,1,5,1,4,5,
973622,2023-01-14 23:00:00+00:00,César Ramos,Cruz Azul,Monterrey,2,3,6,9,15,6,2,8,
973623,2023-01-15 01:05:00+00:00,Fernando Guerrero,Toluca,Club America,2,2,8,3,11,2,2,4,
973624,2023-01-15 03:10:00+00:00,Luis Santander,Santos Laguna,U.N.A.M. - Pumas,3,0,7,10,17,1,1,2,
973625,2023-01-15 01:05:00+00:00,Victor Cáceres,FC Juarez,Club Tijuana,3,0,4,3,7,4,2,6,
973626,2023-01-16 01:05:00+00:00,Marco Ortíz,Tigres UANL,CF Pachuca,4,1,5,3,8,2,2,4,
973627,2023-01-17 03:05:00+00:00,Brian González,León,Necaxa,2,1,4,1,5,1,1,2,
974323,2023-01-21 03:00:00+00:00,César Ramos,Mazatlán,Santos Laguna,1,2,7,9,16,2,2,4,
974324,2023-01-21 03:10:00+00:00,Adonai Escobedo,Club Tijuana,Tigres UANL,1,1,4,4,8,3,3,6,
974325,2023-01-22 23:06:00+00:00,Fernando Guerrero,Monterrey,Atletico San Luis,3,1,3,3,6,1,1,2,
974326,2023-01-22 01:10:00+00:00,Oscar Mejía,Club America,Puebla,2,2,15,2,17,1,6,7,
974327,2023-01-22 03:10:00+00:00,Marco Ortíz,Guadalajara Chivas,Toluca,1,2,6,4,10,0,1,1,
974328,2023-01-22 03:10:00+00:00,Jorge Camacho,Necaxa,Cruz Azul,1,0,2,8,10,6,3,9,
974329,2023-01-22 18:00:00+00:00,Edgar Morales,U.N.A.M. - Pumas,León,4,1,2,6,8,3,1,4,
974330,2023-01-22 23:00:00+00:00,Oscar Macías,Club Queretaro,Atlas,3,3,5,3,8,1,1,2,
974331,2023-01-23 01:10:00+00:00,Ismael López,CF Pachuca,FC Juarez,4,1,5,6,11,1,2,3,
974332,2023-01-27 03:05:00+00:00,Marco Ortíz,Atlas,Santos Laguna,2,2,9,1,10,3,1,4,
974333,2023-01-28 01:05:00+00:00,Jesus López,Puebla,Monterrey,1,2,6,6,12,2,2,4,
974334,2023-01-28 03:05:00+00:00,Ismael López,Club Tijuana,U.N.A.M. - Pumas,0,0,12,3,15,2,5,7,
974336,2023-01-29 01:05:00+00:00,Diego Montaño,Tigres UANL,Atletico San Luis,0,0,10,0,10,1,2,3,
974337,2023-01-29 03:05:00+00:00,Luis Santander,Club America,Mazatlán,6,0,5,4,9,2,4,6,
974338,2023-01-29 03:05:00+00:00,César Ramos,FC Juarez,Guadalajara Chivas,1,2,9,2,11,0,0,0,
974339,2023-01-29 18:00:00+00:00,Adonai Escobedo,Toluca,León,0,0,12,1,13,1,7,8,
974340,2023-01-30 01:00:00+00:00,Victor Cáceres,CF Pachuca,Necaxa,2,1,9,4,13,2,3,5,
973613,2023-02-02 02:05:00+00:00,Luis Santander,Atlas,Toluca,0,0,5,7,12,1,2,3,
974341,2023-02-03 03:00:00+00:00,Adonai Escobedo,Atletico San Luis,Puebla,2,0,4,7,11,3,3,6,
974342,2023-02-04 01:00:00+00:00,César Ramos,Necaxa,Club Tijuana,1,1,8,2,10,3,7,10,
974343,2023-02-04 03:05:00+00:00,Marco Ortíz,Mazatlán,FC Juarez,2,3,6,3,9,1,3,4,
974344,2023-02-04 23:00:00+00:00,Guillermo Pacheco,León,CF Pachuca,0,1,10,4,14,3,5,8,
974345,2023-02-05 01:05:00+00:00,Luis Santander,Cruz Azul,Tigres UANL,0,1,5,4,9,1,1,2,
974346,2023-02-05 03:05:00+00:00,Diego Montaño,Santos Laguna,Club America,2,2,5,7,12,3,2,5,
974347,2023-02-05 18:00:00+00:00,Daniel Quintero,U.N.A.M. - Pumas,Atlas,2,2,4,5,9,6,4,10,
974348,2023-02-05 23:00:00+00:00,Edgar Morales,Guadalajara Chivas,Club Queretaro,1,1,7,3,10,1,2,3,
974349,2023-02-06 01:10:00+00:00,Victor Cáceres,Monterrey,Toluca,2,1,3,9,12,3,1,4,
974350,2023-02-10 01:05:00+00:00,Jesus López,Club Queretaro,León,0,3,5,8,13,3,3,6,
974351,2023-02-10 03:05:00+00:00,Oscar Mejía,Atlas,Monterrey,0,2,5,4,9,1,3,4,
974352,2023-02-11 01:00:00+00:00,Edgar Morales,Puebla,Mazatlán,3,1,3,7,10,0,1,1,
974353,2023-02-11 03:10:00+00:00,Luis Santander,Club Tijuana,Atletico San Luis,1,0,7,4,11,2,4,6,
974354,2023-02-11 23:00:00+00:00,Ismael López,Club America,Necaxa,2,1,4,5,9,4,5,9,
974355,2023-02-12 01:05:00+00:00,Guillermo Pacheco,FC Juarez,Santos Laguna,3,1,9,6,15,0,3,3,
974356,2023-02-12 01:05:00+00:00,Fernando Hernández,Tigres UANL,U.N.A.M. - Pumas,4,2,8,7,15,3,3,6,
974357,2023-02-12 03:05:00+00:00,Adonai Escobedo,CF Pachuca,Guadalajara Chivas,1,1,3,5,8,2,0,2,
974358,2023-02-12 18:00:00+00:00,Marco Ortíz,Toluca,Cruz Azul,3,1,5,8,13,2,4,6,
974359,2023-02-15 01:05:00+00:00,Oscar Macías,León,Puebla,2,0,10,3,13,0,5,5,
974360,2023-02-15 01:05:00+00:00,César Ramos,Tigres UANL,FC Juarez,0,0,3,7,10,2,3,5,
974361,2023-02-15 03:05:00+00:00,Fernando Hernández,Atletico San Luis,Club America,1,3,4,6,10,1,2,3,
974362,2023-02-16 01:05:00+00:00,Brian González,Monterrey,Club Queretaro,2,0,0,1,1,2,2,4,
974363,2023-02-16 01:05:00+00:00,Diego Montaño,Guadalajara Chivas,Club Tijuana,2,1,10,3,13,0,2,2,
974364,2023-02-16 03:05:00+00:00,Fernando Guerrero,Necaxa,U.N.A.M. - Pumas,3,1,2,13,15,4,4,8,
974365,2023-02-17 03:00:00+00:00,Erick Miranda,Mazatlán,CF Pachuca,2,3,4,3,7,2,2,4,
974368,2023-02-18 23:00:00+00:00,Oscar Mejía,Atletico San Luis,Santos Laguna,1,1,3,12,15,2,3,5,
974369,2023-02-18 01:06:00+00:00,Ismael López,FC Juarez,León,0,0,1,3,4,6,6,12,
974370,2023-02-18 03:05:00+00:00,Eduardo Galván,Puebla,Cruz Azul,1,3,2,4,6,3,2,5,
