fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
864192,2022-08-29 02:05:00+00:00,B. González,Club Tijuana,Monterrey,0,3,7,15,22,3,1,4
864193,2022-09-02 00:00:00+00:00,D. Quintero,Atletico San Luis,Club Tijuana,0,0,1,8,9,5,2,7
864194,2022-09-02 02:05:00+00:00,I. Lopez,Club Queretaro,Puebla,1,1,2,3,5,4,2,6
864195,2022-09-03 00:00:00+00:00,M. Ortíz,Necaxa,Leon,3,2,1,10,11,1,1,2
864196,2022-09-03 02:05:00+00:00,B. González,FC Juarez,Cruz Azul,2,2,4,2,6,4,7,11
864197,2022-09-03 22:05:00+00:00,F. Hernández,CF Pachuca,Santos Laguna,2,0,9,7,16,4,5,9
864198,2022-09-04 00:05:00+00:00,V. Cáceres,Monterrey,Mazatlán,0,0,6,4,10,1,3,4
864199,2022-09-04 00:05:00+00:00,L. Santander,Atlas,U.N.A.M. - Pumas,0,0,2,6,8,1,2,3
864200,2022-09-04 02:05:00+00:00,D. Montaño,Club America,Tigres UANL,2,1,4,9,13,5,4,9
864201,2022-09-04 22:00:00+00:00,C. Ramos,Toluca,Guadalajara Chivas,0,0,7,5,12,2,5,7
864202,2022-09-07 00:00:00+00:00,J. Camacho,Leon,FC Juarez,1,0,3,0,3,5,8,13
864203,2022-09-07 00:05:00+00:00,D. Quintero,Santos Laguna,Necaxa,3,1,1,2,3,1,2,3
864204,2022-09-07 02:05:00+00:00,Ó. Mejía,Monterrey,Cruz Azul,3,2,3,0,3,5,1,6
864205,2022-09-07 02:05:00+00:00,V. Cáceres,Club America,Atletico San Luis,3,0,8,3,11,2,4,6
864206,2022-09-08 00:00:00+00:00,A. Escobedo,Puebla,CF Pachuca,2,2,3,4,7,5,4,9
864207,2022-09-08 00:00:00+00:00,M. Ortíz,Tigres UANL,Toluca,3,1,6,3,9,2,3,5
864208,2022-09-08 02:05:00+00:00,C. Ramos,U.N.A.M. - Pumas,Club Queretaro,4,1,4,4,8,1,1,2
864209,2022-09-08 02:05:00+00:00,G. Pacheco,Club Tijuana,Guadalajara Chivas,1,2,6,3,9,3,4,7
864210,2022-09-08 02:00:00+00:00,F. Hernández,Mazatlán,Atlas,1,0,3,8,11,1,2,3
864212,2022-09-10 02:05:00+00:00,D. Montaño,FC Juarez,Monterrey,0,1,6,8,14,0,3,3
864213,2022-09-10 22:00:00+00:00,L. Santander,Club Queretaro,Santos Laguna,3,3,7,4,11,2,2,4
864211,2022-09-11 00:00:00+00:00,F. Guerrero,Necaxa,Club America,1,2,3,9,12,2,0,2
